"No.","Time","Source","Destination","Protocol","Length","Info","rtt","loss"
"60","2.419809457","13.75.106.0","192.168.1.10","TCP","54","443  >  49787 [ACK] Seq=3759 Ack=256 Win=2046 Len=0","0.163157982",""
"61","2.499660231","20.185.212.106","192.168.1.10","TCP","54","443  >  59490 [ACK] Seq=3048 Ack=2651 Win=2051 Len=0","0.223798059",""
"93","3.738062814","52.114.6.102","192.168.1.10","TCP","66","443  >  59623 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1","0.109436492",""
"105","3.851054301","52.114.6.102","192.168.1.10","TCP","2878","443  >  59623 [ACK] Seq=1 Ack=300 Win=524800 Len=2824 [TCP segment of a reassembled PDU]","0.112725411",""
"121","3.978617111","52.114.6.102","192.168.1.10","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","0.122779720",""
"127","4.134540229","52.114.6.102","192.168.1.10","TCP","54","443  >  59623 [ACK] Seq=4216 Ack=1051 Win=524032 Len=0","0.155732301",""
"142","5.836293573","20.185.212.106","192.168.1.10","TCP","54","443  >  59596 [ACK] Seq=1 Ack=2546 Win=2051 Len=0","0.221751868",""
"145","5.963381228","52.114.6.102","192.168.1.10","TCP","54","443  >  59623 [ACK] Seq=4797 Ack=1644 Win=525056 Len=0","0.155170918",""
"237","6.562456380","13.75.106.0","192.168.1.10","TCP","54","443  >  49787 [ACK] Seq=4754 Ack=510 Win=2051 Len=0","0.157549431",""
"305","7.070262062","20.185.212.106","192.168.1.10","TCP","54","443  >  59596 [ACK] Seq=504 Ack=5396 Win=2051 Len=0","0.219796963",""
"430","7.849890823","20.185.212.106","192.168.1.10","TCP","54","443  >  59596 [ACK] Seq=771 Ack=8046 Win=2051 Len=0","0.221057507",""
"511","8.090338484","20.185.212.106","192.168.1.10","TCP","54","443  >  59596 [ACK] Seq=1689 Ack=10696 Win=2051 Len=0","0.221526912",""
